MAG	Domain	Phylum	Class	Order	Family	Genus	Species
Sg_CRR933321_bin.4	Bacteria	Patescibacteria	Paceibacteria	UBA6257	UBA6257		
Sg_CRR933321_bin.41	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Thermotaleaceae		
Sg_CRR933321_bin.44	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	UBA6016	UBA6016	
Sg_CRR933321_bin.45	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Sulfuricystis	
Sg_CRR933321_bin.5	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	UBA4778	UBA4054	
Sg_CRR933321_bin.50	Bacteria	Bacillota_I	Bacilli_A	Erysipelotrichales	Erysipelotrichaceae	UBA2212	
Sg_CRR933321_bin.51	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	UBA932	JAFIHK01	
Sg_CRR933321_bin.52	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tenuifilaceae	Tenuifilum	Tenuifilum sp018056955
Sg_CRR933321_bin.53	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Denitrovibrionaceae	Seleniivibrio	Seleniivibrio woodruffii
Sg_CRR933321_bin.55	Bacteria	Patescibacteria	Paceibacteria	UBA6257	GWB1-50-10	JAGUWR01	
Sg_CRR933321_bin.7	Bacteria	Bipolaricaulota	Bipolaricaulia	Bipolaricaulales	Bipolaricaulaceae	Bipolaricaulis	
Sg_CRR933321_bin.8	Bacteria	Riflebacteria	Ozemobacteria	Ozemobacterales	Ozemobacteraceae	MWAR01	MWAR01 sp029547365
Sg_CRR933322_bin.1	Bacteria	Desulfobacterota	Syntrophia	Syntrophales	Smithellaceae	Smithella	
Sg_CRR933322_bin.14	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
Sg_CRR933322_bin.18	Bacteria	Bacillota_I	Bacilli_A	Acholeplasmatales	Acholeplasmataceae	UBA2284	UBA2284 sp002418725
Sg_CRR933322_bin.19	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Azovibrio	
Sg_CRR933322_bin.20	Bacteria	Pseudomonadota	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Stenotrophomonas	
Sg_CRR933322_bin.25	Bacteria	Patescibacteria	Paceibacteria	Paceibacterales	GCA-002788555		
Sg_CRR933322_bin.26	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
Sg_CRR933322_bin.27	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	UBA6016	UBA6016	
Sg_CRR933322_bin.28	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Pseudorhodoferax	Pseudorhodoferax sp001422365
Sg_CRR933322_bin.3	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Noviherbaspirillum	
Sg_CRR933322_bin.30	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus
Sg_CRR933322_bin.33	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Telluria	
Sg_CRR933322_bin.34	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas_K	
Sg_CRR933322_bin.35	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Arcobacteraceae	UBA6211	
Sg_CRR933322_bin.37	Bacteria	Pseudomonadota	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Agrobacterium	Agrobacterium fabacearum
Sg_CRR933322_bin.38	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas guildfordensis
Sg_CRR933322_bin.39	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Acidovorax	
Sg_CRR933322_bin.40	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Rhodocyclaceae	Thauera	Thauera mechernichensis
Sg_CRR933322_bin.42	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	
Sg_CRR933322_bin.45	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	
Sg_CRR933322_bin.46	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	Pontibacter sp030546575
Sg_CRR933322_bin.8	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Hymenobacteraceae	Pontibacter	
Sg_CRR933322_bin.9	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae	Tepidicella	Tepidicella baoligensis
