MAG,Domain,Phylum,Class,Order,Family,Genus,Species
Sg_CRR933415_bin.15,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albimonas,Unassigned
Sg_CRR933415_bin.3,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Salinimicrobium,Unassigned
Sg_CRR933415_bin.4,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Microbacteriaceae,Agrococcus,Unassigned
Sg_CRR933415_bin.5,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,UBA1924,Unassigned,Unassigned
Sg_CRR933416_bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Halomonadaceae,Halomonas,Halomonas alimentaria
Sg_CRR933416_bin.4,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Unassigned
Sg_CRR933416_bin.6,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter vinifirmus
Sg_CRR933417_bin.1,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Unassigned
Sg_CRR933417_bin.10,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Tsuneonella,Unassigned
Sg_CRR933417_bin.12,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Geodermatophilaceae,Blastococcus,Unassigned
Sg_CRR933417_bin.14,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodospirillales_A,JACZKS01,JACZKS01,Unassigned
Sg_CRR933417_bin.18,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Qipengyuania,Unassigned
Sg_CRR933417_bin.2,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,F082,UBA5536,UBA5536 sp015709215
Sg_CRR933417_bin.21,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Marmoricola_A,Unassigned
Sg_CRR933417_bin.22,Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas vesicularis
Sg_CRR933417_bin.24,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Cellulomonadaceae,Actinotalea,Unassigned
Sg_CRR933417_bin.29,Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Croceibacterium,Unassigned
Sg_CRR933417_bin.30,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ramlibacter,Ramlibacter rhizophilus
Sg_CRR933417_bin.31,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Unassigned
Sg_CRR933417_bin.32,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium,Allorhizobium sp900466945
