"genome","Occupancy","Mean_Relative_Abundance","Domain","Phylum","Class","Order","Family","Genus","Species"
"Sg_CRR933324_bin.21",3.2967032967033,0.0460132996366606,"Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","GCA-002840015","Unassigned"
"Sg_CRR933324_bin.22",1.0989010989011,0.000594622053580186,"Bacteria","Pseudomonadota","Gammaproteobacteria","Legionellales","Legionellaceae","Tatlockia","Tatlockia drozanskii"
"Sg_CRR933324_bin.23",3.2967032967033,0.0345573054165548,"Bacteria","Pseudomonadota","Alphaproteobacteria","Thalassobaculales","Thalassobaculaceae","Thalassobaculum_A","Unassigned"
"Sg_CRR933324_bin.24",1.0989010989011,0.000994038363297564,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","PBB1","Unassigned"
"Sg_CRR933324_bin.25",1.0989010989011,0.00089305754163601,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Albidovulum","Unassigned"
"Sg_CRR933324_bin.26",13.1868131868132,0.20906371980343,"Bacteria","Pseudomonadota","Alphaproteobacteria","Parvibaculales","Parvibaculaceae","Parvibaculum","Unassigned"
"Sg_CRR933324_bin.27",23.0769230769231,0.0272225000607744,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned"
"Sg_CRR933324_bin.29",3.2967032967033,0.0013372934008899,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas","Blastomonas delafieldii_A"
"Sg_CRR933324_bin.3",19.7802197802198,0.00236112665215856,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned"
"Sg_CRR933324_bin.30",14.2857142857143,0.147210931087439,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Unassigned"
"Sg_CRR933324_bin.31",2.1978021978022,0.000482581877846972,"Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Aquabacterium","Aquabacterium parvum"
"Sg_CRR933324_bin.32",3.2967032967033,0.0317684419637319,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Parvularculaceae","CV81","Unassigned"
"Sg_CRR933324_bin.33",2.1978021978022,0.0120922308824284,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas","Unassigned"
"Sg_CRR933324_bin.34",4.3956043956044,0.00178349747852723,"Bacteria","Pseudomonadota","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium_A","Unassigned"
"Sg_CRR933324_bin.36",8.79120879120879,0.0040237643282785,"Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","Unassigned"
"Sg_CRR933324_bin.37",10.989010989011,0.00214056869249285,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","Sphingobium xenophagum"
"Sg_CRR933324_bin.38",1.0989010989011,0.00105651985363756,"Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Erythrobacter","Unassigned"
